Week,Sched Games,Sched Byes,Unsched Games,Unsched Byes,Unsched Teams,Team1,Team2,Team3,Team4
17,16,0,223,0,0,0,0,U:pat:dol:0.0:0.0:0,U:pat:jet:4.0:0.0:0,U:dol:pat:0.0:0.0:0
9,13,4,113,0,2,patriots,jaguars,S:2:pac:vik:-3.0880952380952382:0.0,S:3:eag:cow:-2.6924603174603177:0.0,S:4:bro:fal:-2.00041918175721:0.0,U:lio:vik:5.136190476190476:2.0:0,U:car:sea:12.160714285714286:2.0:0,U:dol:jet:8.284407665505228:2.0:0
9,13,4,113,0,2,buccaneers,Ravens,S:2:pat:vik:-1.8778571428571427:0.0,S:3:jag:tit:0.08921568627450986:0.0,S:4:eag:cow:-2.688650793650794:0.0,U:lio:vik:5.136190476190476:2.0:0,U:car:sea:12.168778801843319:2.0:0,U:dol:jet:6.367063492063492:2.0:0
9,13,4,113,0,2,jaguars,saints,S:2:buc:pan:-0.018809523809523776:0.0,S:3:pac:vik:-3.063676633444075:0.0,S:4:eag:cow:-2.706746031746032:0.0,U:lio:vik:5.1506090808416385:2.0:0,U:car:sea:12.153138528138529:2.0:0,U:dol:jet:8.279761904761905:2.0:0
9,13,4,113,0,2,buccaneers,Ravens,S:2:jag:tit:0.0833333333333334:0.0,S:3:sai:pan:-1.1039325842696628:0.0,S:4:pac:vik:-3.038095238095238:0.0,U:lio:vik:5.1761904761904765:2.0:0,U:car:sea:12.160714285714286:2.0:0,U:dol:jet:8.308797909407666:2.0:0
9,13,4,113,0,2,jaguars,saints,S:2:buc:pan:-0.018809523809523776:0.0,S:3:pac:vik:-3.063676633444075:0.0,S:4:eag:cow:-2.706746031746032:0.0,U:lio:vik:5.1506090808416385:2.0:0,U:car:sea:12.153138528138529:2.0:0,U:dol:jet:8.279761904761905:2.0:0
9,13,4,113,0,2,buccaneers,Ravens,S:2:jag:tit:0.0833333333333334:0.0,S:3:sai:pan:-1.1039325842696628:0.0,S:4:pac:vik:-3.038095238095238:0.0,U:lio:vik:5.1761904761904765:2.0:0,U:car:sea:12.160714285714286:2.0:0,U:dol:jet:8.308797909407666:2.0:0
9,12,6,114,0,2,jets,jaguars,S:2:buc:pan:-0.005952380952380931:0.0,S:3:pac:vik:-3.0432900432900434:0.0,S:4:eag:cow:-2.687776476710903:0.0,U:lio:vik:5.170995670995671:2.0:0,U:car:sea:12.202380952380954:2.0:0,U:dol:jet:6.301406926406926:2.0:0
9,14,1,112,0,3,texans,Lions,Ravens,S:1:jet:bro:0.09749589490968798:0.0,S:2:jag:tit:0.0843434343434344:0.0,S:3:pac:vik:-3.0676406926406927:0.0,U:lio:vik:5.146645021645021:2.0:0,U:car:sea:12.279135338345865:2.0:0,U:dol:jet:10.218596059113299:2.0:0
9,14,1,112,0,3,jaguars,saints,Browns,S:1:tex:tit:-1.91044061302682:0.0,S:2:pac:lio:0.13153028201571892:2.0,S:3:fal:rav:0.03806755260243627:0.0,U:lio:vik:5.131530282015719:2.0:0,U:car:sea:12.169973544973546:2.0:0,U:dol:jet:7.265756302521009:2.0:0
9,15,1,111,0,1,Ravens,S:1:jag:ste:0.07787356321839078:0.0,S:2:sai:pan:-1.1261904761904762:0.0,S:3:bro:fal:-2.003205128205128:0.0,U:lio:vik:5.163690476190476:2.0:0,U:car:sea:12.139285714285714:2.0:0,U:dol:jet:8.252076411960132:2.0:0
