MetLife,1,1
MetLife,2,1
MetLife,3,1
MetLife,4,1
MetLife,5,1
MetLife,6,1
MetLife,7,1
MetLife,8,1
MetLife,9,1
MetLife,10,1
MetLife,11,1
MetLife,12,1
MetLife,13,1
MetLife,14,1
MetLife,15,1
MetLife,16,1
MetLife,17,1
SoFi,1,1
SoFi,2,1
SoFi,3,1
SoFi,4,1
SoFi,5,1
SoFi,6,1
SoFi,7,1
SoFi,8,1
SoFi,9,1
SoFi,10,1
SoFi,11,1
SoFi,12,1
SoFi,13,1
SoFi,14,1
SoFi,15,1
SoFi,16,1
SoFi,17,1
Bye,4,6,2
Bye,5,6,2
Bye,6,6,2
Bye,7,6,2
Bye,8,6,2
Bye,9,6,2
Bye,10,6,2
Bye,11,6,2
Bye,12,2,0
Bye,13,2,0
