FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count,GamesInWeek,HighSeqNum 
2.6931474027474E13,5,1068,0,2.1571652720361E13,1,14,15
3.2287335327046E13,4,1070,0,2.6931474027474E13,1,15,16
2.7496463857346E13,5,1116,0,2.1571652720361E13,1,14,15
2.09811287574E11,16,1139,0,4.2809158174E10,1,16,14
5.59419790914E11,15,1140,0,2.09811287574E11,1,16,15
1.09585541277E12,14,1142,0,5.59419790914E11,1,16,14
1.97886492247E12,13,1144,0,1.09585541277E12,1,16,15
3.394850383606E12,12,1152,0,1.97886492247E12,1,15,14
5.152768141986E12,11,1153,0,3.394850383606E12,1,14,14
7.49766032637E12,10,1154,0,5.152768141986E12,1,14,15
7.051092637026E12,10,1181,0,5.152768141986E12,1,14,15
9.828197538321E12,9,1187,0,7.051092637026E12,1,14,15
1.3161243164521E13,8,1203,0,9.828197538321E12,1,13,13
1.5948493781991E13,7,1208,0,1.3161243164521E13,1,14,14
1.7063873092784E13,7,1231,0,1.3161243164521E13,1,13,13
1.6980526350855E13,7,1255,0,1.3161243164521E13,1,15,14
2.1035801733255E13,6,1256,0,1.6980526350855E13,1,15,15
2.1286750708215E13,6,1278,0,1.6980526350855E13,1,14,14
2.1421774158039E13,6,1300,0,1.6980526350855E13,1,13,13
2.1286750708215E13,6,1322,0,1.6980526350855E13,2,13,13
2.1286750708215E13,6,1323,0,1.6980526350855E13,3,12,13
2.1286750708215E13,6,1324,0,1.6980526350855E13,4,11,13
2.1209228006535E13,6,1325,0,1.6980526350855E13,1,15,15
2.7309951877946E13,5,1346,0,2.1209228006535E13,1,13,14
3.3152334953678E13,4,1360,0,2.7309951877946E13,1,15,16
3.360801816079E13,4,1383,0,2.7309951877946E13,1,15,16
2.1421774158039E13,6,1447,0,1.6980526350855E13,2,12,13
2.1286750708215E13,6,1448,0,1.6980526350855E13,5,10,10
2.1286750708215E13,6,1449,0,1.6980526350855E13,6,9,9
2.1286750708215E13,6,1452,0,1.6980526350855E13,7,8,10
2.1141664415991E13,6,1456,0,1.6980526350855E13,1,14,14
2.1286750708215E13,6,1478,0,1.6980526350855E13,8,7,8
1.6456142716047E13,7,1505,0,1.3161243164521E13,1,14,14
2.0546997768351E13,6,1517,0,1.6456142716047E13,1,15,15
2.6992801535299E13,5,1521,0,2.0546997768351E13,1,14,15
2.0937999466431E13,6,1565,0,1.6456142716047E13,1,14,14
2.1122285852943E13,6,1588,0,1.6456142716047E13,1,15,15
2.1257309302767E13,6,1621,0,1.6456142716047E13,1,14,14
2.0754021428559E13,6,1644,0,1.6456142716047E13,1,15,15
2.0937999466431E13,6,1667,0,1.6456142716047E13,2,13,13
2.0937999466431E13,6,1673,0,1.6456142716047E13,3,12,12
2.1257309302767E13,6,1679,0,1.6456142716047E13,2,13,13
1.685623750854E13,7,1687,0,1.3161243164521E13,1,13,13
1.91968810422E11,16,1710,0,4.2809158174E10,1,16,14
5.57047976676E11,15,1711,0,1.91968810422E11,1,16,15
1.076020979076E12,14,1715,0,5.57047976676E11,1,16,14
1.842269719026E12,13,1717,0,1.076020979076E12,1,15,15
2.961973429266E12,12,1720,0,1.842269719026E12,1,15,14
4.571309567312E12,11,1721,0,2.961973429266E12,1,15,15
6.570525123216E12,10,1722,0,4.571309567312E12,1,13,14
6.536031703824E12,10,1744,0,4.571309567312E12,1,13,14
9.573481401447E12,9,1758,0,6.536031703824E12,1,14,15
1.3180191391147E13,8,1774,0,9.573481401447E12,1,14,14
8.806016529363E12,9,1817,0,6.536031703824E12,1,13,14
1.3061708220063E13,8,1821,0,8.806016529363E12,1,13,13
1.7412973588799E13,7,1833,0,1.3061708220063E13,1,15,14
2.0876745714047E13,6,1835,0,1.7412973588799E13,1,15,15
2.1427904181599E13,6,1858,0,1.7412973588799E13,1,15,15
2.1427904181599E13,6,1881,0,1.7412973588799E13,2,14,14
2.1627335520863E13,6,1889,0,1.7412973588799E13,1,15,15
2.1453917029055E13,6,1912,0,1.7412973588799E13,1,15,15
2.1617494579871E13,6,1935,0,1.7412973588799E13,1,15,15
2.1453917029055E13,6,1958,0,1.7412973588799E13,2,14,14
2.1627335520863E13,6,1963,0,1.7412973588799E13,2,14,14
2.1790913071679E13,6,1968,0,1.7412973588799E13,1,15,15
2.1790913071679E13,6,1996,0,1.7412973588799E13,2,14,14
2.1427904181599E13,6,1998,0,1.7412973588799E13,3,13,15
2.1427904181599E13,6,2000,0,1.7412973588799E13,4,12,12
2.1427904181599E13,6,2002,0,1.7412973588799E13,5,11,11
2.1627335520863E13,6,2007,0,1.7412973588799E13,3,13,13
1.7412973588799E13,7,2015,0,1.3061708220063E13,2,14,13
1.665963026665E13,7,2022,0,1.3061708220063E13,1,14,14
2.2049910803626E13,6,2024,0,1.665963026665E13,1,15,15
2.2049910803626E13,6,2047,0,1.665963026665E13,2,14,14
2.2049910803626E13,6,2049,0,1.665963026665E13,3,13,14
2.2049910803626E13,6,2051,0,1.665963026665E13,4,12,12
2.2049910803626E13,6,2053,0,1.665963026665E13,5,11,11
2.114085159745E13,6,2059,0,1.665963026665E13,1,15,15
2.6661477644347E13,5,2064,0,2.114085159745E13,1,15,16
2.8108550466867E13,5,2087,0,2.114085159745E13,1,15,16
2.8108550466867E13,5,2110,0,2.114085159745E13,2,14,15
2.8108550466867E13,5,2112,0,2.114085159745E13,3,13,14
2.8108550466867E13,5,2114,0,2.114085159745E13,4,12,13
2.8108550466867E13,5,2116,0,2.114085159745E13,5,11,12
2.1058646804458E13,6,2142,0,1.665963026665E13,1,15,15
