chiefs,1,hometeam,texans
falcons,1,hometeam,raiders
dolphins,1,hometeam,chargers
buccaneers,1,hometeam,rams
redskins,1,hometeam,panthers
seahawks,1,hometeam,cardinals
giants,1,hometeam,cowboys
raiders,2,hometeam,buccaneers
bengals,2,hometeam,chargers
rams,2,hometeam,49ers
chargers,3,hometeam,chiefs
broncos,5,hometeam,bye
cardinals,6,hometeam,seahawks
broncos,12,hometeam,raiders
chiefs,17,hometeam,broncos
raiders,17,hometeam,chargers
browns,17,hometeam,ravens
bengals,17,hometeam,steelers
texans,17,hometeam,colts
jaguars,17,hometeam,titans
bills,17,hometeam,patriots
jets,17,hometeam,dolphins
saints,17,hometeam,buccaneers
panthers,17,hometeam,falcons
cardinals,17,hometeam,49ers
rams,17,hometeam,seahawks
packers,17,hometeam,bears
lions,17,hometeam,vikings
eagles,17,hometeam,redskins
cowboys,17,hometeam,giants
